OBJECTID_1,OBJECTID,DNR_REGION,DNR_CNTY_C,COUNTY_NAM,COUNTY_FIP,SHAPEAREA,SHAPELEN,Shape_Length,Shape_Area,Point_Count
1,1281,Southeast Region,30,Kenosha,59,721045434.4,123267.3034,123267.3035,721045434.4,3
2,1282,South Central Region,33,Lafayette,65,1641794820,164707.6498,164707.6499,1641794821,14
3,1283,South Central Region,54,Rock,105,1879381549,174114.5877,174114.5877,1879381549,16
4,1284,Southeast Region,65,Walworth,127,1492598262,154833.2794,154833.2794,1492598262,4
5,1285,South Central Region,23,Green,45,1512854984,155741.1044,155741.1043,1512854983,14
6,1286,Southeast Region,52,Racine,101,881856997.1,136330.1469,136330.1469,881856997.3,6
7,1287,South Central Region,28,Jefferson,55,1508383943,155148.7298,155148.7298,1508383943,8
8,1288,Southeast Region,68,Waukesha,133,1503091655,154932.8695,154932.8695,1503091655,11
9,1289,South Central Region,25,Iowa,49,1987500062,190748.5305,190748.5304,1987500062,16
10,1290,Southeast Region,41,Milwaukee,79,628432374.3,129879.5616,129879.5607,628432373.9,5
11,1291,South Central Region,22,Grant,43,3056072357,247096.2993,247096.2994,3056072356,23
12,1292,South Central Region,13,Dane,25,3204610205,231224.53,231224.5298,3204610205,27
13,1293,West Central Region,12,Crawford,23,1550525534,181827.3727,181827.3726,1550525534,13
14,1294,South Central Region,53,Richland,103,1524958367,167590.535,167590.5349,1524958367,17
15,1295,Southeast Region,67,Washington,131,1128189117,138783.0271,138783.027,1128189117,3
16,1296,Southeast Region,46,Ozaukee,89,609374148,119252.9044,119252.9043,609374148.3,8
17,1297,South Central Region,14,Dodge,27,2348412247,195437.6681,195437.6681,2348412247,11
18,1298,South Central Region,57,Sauk,111,2196077683,215968.2093,215968.2092,2196077682,12
19,1299,South Central Region,11,Columbia,21,2060373640,222534.7057,222534.7058,2060373639,20
20,1300,West Central Region,63,Vernon,123,2113139378,221363.6209,221363.621,2113139378,19
21,1301,Southeast Region,60,Sheboygan,117,1340398331,145771.2797,145771.2796,1340398330,13
22,1302,Northeast Region,20,Fond du Lac,39,1982400534,204269.2374,204269.2373,1982400534,17
23,1303,Northeast Region,39,Marquette,77,1201734894,150978.0103,150978.0103,1201734894,16
24,1304,Northeast Region,24,Green Lake,47,983974034,142066.5349,142066.535,983974034.3,7
25,1305,West Central Region,32,La Crosse,63,1242359440,161107.8677,161107.8675,1242359440,12
26,1306,West Central Region,42,Monroe,81,2350927325,201575.0767,201575.0767,2350927324,14
27,1307,Northeast Region,70,Waushara,137,1649677050,171963.6307,171963.6308,1649677050,20
28,1308,West Central Region,29,Juneau,57,2081415930,243946.749,243946.7492,2081415931,12
29,1309,West Central Region,1,Adams,1,1781418527,207462.2675,207462.2676,1781418527,16
30,1310,Northeast Region,71,Winnebago,139,1498762653,154940.9415,154940.9416,1498762653,6
31,1311,Northeast Region,8,Calumet,15,1027434026,135857.9962,135857.9962,1027434026,10
32,1312,Northeast Region,36,Manitowoc,71,1542430955,170576.9319,170576.9322,1542430955,10
33,1313,Northeast Region,45,Outagamie,87,1668716245,164097.0312,164097.0313,1668716245,12
34,1314,West Central Region,27,Jackson,53,2588595104,253228.7579,253228.7578,2588595105,14
35,1315,West Central Region,62,Trempealeau,121,1920107762,223790.3752,223790.3754,1920107762,18
36,1316,West Central Region,6,Buffalo,11,1837279814,211900.7292,211900.7296,1837279814,8
37,1317,West Central Region,72,Wood,141,2094135332,191085.8318,191085.8318,2094135332,26
38,1318,Northeast Region,69,Waupaca,135,1980254728,195117.0485,195117.0485,1980254728,10
39,1319,West Central Region,50,Portage,97,2130215218,195740.2818,195740.2819,2130215217,24
40,1320,West Central Region,47,Pepin,91,644168009.8,156123.0833,156123.0833,644168009.5,8
41,1321,Northeast Region,31,Kewaunee,61,891120607.5,129297.8167,129297.8171,891120607.8,6
42,1322,West Central Region,18,Eau Claire,35,1670530918,173193.0748,173193.0748,1670530918,12
43,1323,West Central Region,48,Pierce,93,1535001842,165723.5517,165723.5518,1535001842,12
44,1324,Northeast Region,59,Shawano,115,2354405476,253897.784,253897.7839,2354405477,15
45,1325,West Central Region,10,Clark,19,3153811947,231503.1863,231503.1864,3153811948,24
46,1326,West Central Region,37,Marathon,73,4079194655,269394.2875,269394.2876,4079194655,32
47,1327,Northeast Region,40,Menominee,78,944886803.4,136275.441,136275.441,944886803,9
48,1328,West Central Region,17,Dunn,33,2236630412,196419.5028,196419.5028,2236630411,21
49,1329,West Central Region,56,St. Croix,109,1905920414,182745.1574,182745.1573,1905920414,19
50,1330,West Central Region,9,Chippewa,17,2695241370,213839.986,213839.986,2695241369,26
51,1331,Northeast Region,15,Door,29,1264058344,480279.2327,480279.2323,1264058343,8
52,1332,Northern Region,61,Taylor,119,2547273649,216140.0807,216140.0808,2547273649,17
53,1333,Northeast Region,43,Oconto,83,2632688086,310010.7407,310010.7407,2632688086,10
54,1334,Northern Region,34,Langlade,67,2298178417,220898.3499,220898.3498,2298178416,19
55,1335,Northern Region,35,Lincoln,69,2346733942,193441.1732,193441.1733,2346733943,8
56,1336,Northern Region,55,Rusk,107,2409930944,211796.5668,211796.5668,2409930945,20
57,1337,Northern Region,3,Barron,5,2304013500,191882.6898,191882.6898,2304013500,21
58,1338,Northern Region,49,Polk,95,2477352684,237962.4896,237962.4894,2477352684,20
59,1339,Northeast Region,38,Marinette,75,3702103112,389404.7658,389404.7653,3702103112,30
60,1340,Northern Region,44,Oneida,85,3200078055,260146.2471,260146.2471,3200078056,26
